issue,detail_id,squib,detail_index,source_url,registry_status,http_status,registry_error,updated_at,saved_path,parse_outcome
http_error_mislabeled_downloaded,1971FEL/ZAO145-152:4,1971FEL/ZAO145-152,4,https://kinetics.nist.gov/solution/Detail?id=1971FEL/ZAO145-152:4,downloaded,500,,2026-06-24T16:08:39.723248+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1971FEL_ZAO145-152_4_20260624T160838_dbf8a54c5a18.html,blank_reaction
http_error_mislabeled_downloaded,1971FOO/DEN5162-5167:41,1971FOO/DEN5162-5167,41,https://kinetics.nist.gov/solution/Detail?id=1971FOO/DEN5162-5167:41,downloaded,500,,2026-06-24T16:05:58.798002+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1971FOO_DEN5162-5167_41_20260624T160557_6bd149622fa8.html,blank_reaction
http_error_mislabeled_downloaded,1971FOO/PET129-154B:15,1971FOO/PET129-154B,15,https://kinetics.nist.gov/solution/Detail?id=1971FOO/PET129-154B:15,downloaded,500,,2026-06-21T10:17:31.356356+00:00,data/new_solution/boundary_probe/boundary_20260621_101630/boundary_detail_1971FOO_PET129-154B_15_20260621T101729_ac331a57506f.html,blank_reaction
http_error_mislabeled_downloaded,1971GRU/HEN126-134:4,1971GRU/HEN126-134,4,https://kinetics.nist.gov/solution/Detail?id=1971GRU/HEN126-134:4,downloaded,500,,2026-06-24T15:59:12.953308+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1971GRU_HEN126-134_4_20260624T155912_17da6b8268dd.html,blank_reaction
http_error_mislabeled_downloaded,1971GUP/HAR8-19:4,1971GUP/HAR8-19,4,https://kinetics.nist.gov/solution/Detail?id=1971GUP/HAR8-19:4,downloaded,500,,2026-06-21T10:16:43.376342+00:00,data/new_solution/boundary_probe/boundary_20260621_101630/boundary_detail_1971GUP_HAR8-19_4_20260621T101641_817250ce7228.html,blank_reaction
http_error_mislabeled_downloaded,1971PHI/POW236-250:1,1971PHI/POW236-250,1,https://kinetics.nist.gov/solution/Detail?id=1971PHI/POW236-250:1,downloaded,500,,2026-07-01T07:33:29.525375+00:00,data/new_solution/boundary_probe/boundary_20260627_103328/boundary_detail_1971PHI_POW236-250_1_20260627T105738_7e318d877f3a.html,missing_record
http_error_mislabeled_downloaded,1971SHR/MIC598-611:16,1971SHR/MIC598-611,16,https://kinetics.nist.gov/solution/Detail?id=1971SHR/MIC598-611:16,downloaded,500,,2026-06-24T16:01:10.601150+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1971SHR_MIC598-611_16_20260624T160108_ca4e11559453.html,blank_reaction
http_error_mislabeled_downloaded,1971SIM/NET309-320:11,1971SIM/NET309-320,11,https://kinetics.nist.gov/solution/Detail?id=1971SIM/NET309-320:11,downloaded,500,,2026-06-21T06:56:40.946591+00:00,data/new_solution/boundary_probe/boundary_20260620_190527/boundary_detail_1971SIM_NET309-320_11_20260620T190611_591889bf93f3.html,blank_reaction
http_error_mislabeled_downloaded,1971STO/HEN833-840:5,1971STO/HEN833-840,5,https://kinetics.nist.gov/solution/Detail?id=1971STO/HEN833-840:5,downloaded,500,,2026-06-24T16:12:59.997696+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1971STO_HEN833-840_5_20260624T161258_1db660a84779.html,blank_reaction
http_error_mislabeled_downloaded,1971WIL3008-3019:19,1971WIL3008-3019,19,https://kinetics.nist.gov/solution/Detail?id=1971WIL3008-3019:19,downloaded,500,,2026-06-24T16:07:42.977438+00:00,data/new_solution/boundary_probe/boundary_20260624_155905/boundary_detail_1971WIL3008-3019_19_20260624T160741_49ab0f1878aa.html,blank_reaction
